FileName,GameMode,Map,Version,Region,GameTime,Team,PlayerName,PlayerLevel,HeroName,HeroLevel,Award,Talents_L1,Talents_L4,Talents_L7,Talents_L10,Talents_L13,Talents_L16,Talents_L20,HeroKills,Assists,Takedowns,Deaths,MinionDamage,SummonDamage,StructureDamage,TotalSiegeDamage,HeroDamage,DamageTaken,HealingShielding,SelfHealing,Experience,SpentDead,RootingHeroes,SilenceHeroes,StunHeroes,CCHeroes,OnFire,SpellDamage,PhysicalDamage,MercDamage,MercCampCaptures,WatchTowerCaptures,TownKills,MinionKills,RegenGlobes,Winner,Role
2025-02-18 22.31.13 Industrial District.StormReplay,aram,Industrial District,2.55.9.93640,us,0:15:06,Blue,Deathmask,2056,Xul,1,mostTeamfightHeroDamageDone,NecromancerTalentBoneArmorShade,NecromancerTalentHarvestVitality,NecromancerHeroicAbilityPoisonNova,NecromancerTalentRapidHarvest,NecromancerTalentWeaken,NecromancerTalentAndarielsVisage,0,11,14,25,3,22076,4819,23031,49926,94746,81593,0,25660,11719,0:00:51,0.000625,0:00:00,0:00:00,0:00:00,0:01:53,67237,70972,1130,0,0,2,30,27,Yes,Bruiser
2025-02-18 22.31.13 Industrial District.StormReplay,aram,Industrial District,2.55.9.93640,us,0:15:06,Blue,Indigente,164,Deckard,1,mostRoots,DeckardPotionOfShielding,DeckardCubeMastery,DeckardStayAWhileAndListen,DeckardPotionOfRevival,DeckardScrollOfStoneCurse,0,DeckardBottomlessFlask,1,24,25,1,29377,3777,19045,52199,45369,44398,94247,0,12148,0:00:22,0.00119213,0:00:00,0:01:12,0:00:00,0:00:00,87359,8902,0,0,0,2,28,43,Yes,Healer
2025-01-02 21.43.09 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.8.93382,us,0:15:06,Red,Raizenser,2992,Imperius,1,highestKillStreak,ImperiusValorousBrandBurnTheImpure,ImperiusCelestialChargeFlashOfAnger,ImperiusAngelicArmaments,ImperiusCelestialChargePatheticMortals,ImperiusCelestialChargeCelestialSwiftness,ImperiusAngelicArmamentsHeavenlyHost,0,8,21,29,3,27853,995,12557,41405,67547,76959,4748,28549,12176,0:00:35,0.0,0:00:00,0:00:41,0:00:00,0:01:15,66995,31053,0,0,0,2,23,34,Yes,Bruiser
2025-03-04 19.46.39 Industrial District.StormReplay,aram,Industrial District,2.55.9.93640,us,0:15:06,Blue,Indigente,175,Qhira,1,mostTeamfightHeroDamageDone,NexusHunterUpstage,0,NexusHunterBloodRageHealmonger,NexusHunterPulsingPain,NexusHunterRevolvingSweepBoomingKick,0,0,2,7,9,7,19953,8384,3252,31589,85135,86532,0,28880,5176,0:02:49,0.0,0:00:00,0:00:27,0:00:00,0:00:00,99149,14199,0,0,0,0,21,23,No,Melee Assassin
2025-01-02 21.43.09 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.8.93382,us,0:15:06,Red,Ticoman,1963,Brightwing,1,0,0,BrightwingUnstableAnomalyPolymorph,FaerieDragonHeroicAbilityBlinkHeal,BrightwingPixieDustSafetyDust,FaerieDragonMasteryCritterize,BrightwingInvisibleFriends,0,2,27,29,3,9148,0,9657,18805,19355,27682,91662,0,9439,0:01:11,0.0,0:00:42,0:00:00,0:00:00,0:00:12,19170,14403,0,0,0,2,14,23,Yes,Healer
2025-01-02 21.43.09 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.8.93382,us,0:15:06,Red,Indigente,61,Varian,1,0,VarianHighKingsQuestQuest,VarianColossusSmash,VarianParryShieldWall,VarianChargeJuggernaut,VarianBannerOfStormwind,VarianColossusSmashMasterAtArms,0,11,20,31,4,8632,559,26118,35309,66505,78302,0,35224,10842,0:01:03,0.0,0:00:00,0:00:00,0:00:00,0:01:25,38308,58272,0,0,0,2,8,26,Yes,Bruiser
2025-02-18 22.31.13 Industrial District.StormReplay,aram,Industrial District,2.55.9.93640,us,0:15:06,Blue,Ticoman,1991,Zarya,1,0,ZaryaShieldAllyTogetherWeAreStrong,ZaryaShieldAllyGiveMeTwentyQuest,ZaryaParticleGrenadePinpointAccuracy,ZaryaHeroicAbilityGravitonSurge,ZaryaPersonalBarrierUnstoppableCompetitor,ZaryaShieldAllyCleansingShield,ZaryaGravitonSurgeGravityKills,5,13,18,2,10693,2133,15923,28749,44520,47215,9869,8639,5365,0:01:09,0.0,0:00:07,0:00:00,0:00:00,0:00:00,31020,38929,0,0,0,1,4,42,Yes,Support
2025-01-28 21.47.45 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.9.93613,us,0:15:05,Blue,Indigente,138,Gul'dan,1,mvp,GuldanCorruptionEchoedCorruption,GuldanFelFlameBoundByShadow,0,GuldanRainOfDestruction,GuldanDarkBargain,GuldanLifeTapDarknessWithin,GuldanRainOfDestructionDeepImpact,8,20,28,0,54198,655,47195,116332,85537,39202,0,18019,16095,0:00:00,0.0,0:00:00,0:00:00,0:00:00,0:11:45,180506,19043,0,0,0,2,63,38,Yes,Mage
2025-01-28 21.47.45 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.9.93613,us,0:15:05,Blue,Ticoman,1986,Orphea,1,highestKillStreak,OrpheaGrowingNightmare,OrpheaBackbiter,OrpheaMindDevourer,OrpheaDetermination,OrpheaBondOfAnguish,OrpheaEngulfingOblivion,0,7,21,28,0,40315,236,13652,54203,46139,29264,0,4265,12746,0:00:00,0.0,0:00:00,0:00:01,0:00:00,0:00:00,78858,17875,0,0,0,1,46,40,Yes,Ranged Assassin
2025-05-07 23.50.43 Silver City.StormReplay,aram,Silver City,2.55.10.93810,us,0:15:05,Blue,Ticoman,2047,Nazeebo,1,0,WitchDoctorHexedCrawlers,WitchDoctorSpiritofArachyr,0,WitchDoctorHeroicAbilityRavenousSpirits,WitchDoctorSpiderColony,0,0,2,2,4,9,34889,0,926,37809,69651,42861,0,3378,9872,0:02:15,0.0,0:00:00,0:00:00,0:00:00,0:00:00,96923,14971,321,0,0,0,42,19,No,Mage
